年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送,id
2016,Ｊ２,第１３節第１日,05/15(日),13:03,金沢,1-1,東京Ｖ,石川西部,3,902,スカパー！／スカパー！プレミアムサービス,18334
2016,Ｊ２,第１３節第１日,05/15(日),13:03,水戸,0-1,札幌,Ｋｓスタ,6,028,スカパー！／スカパー！プレミアムサービス,18332
2016,Ｊ２,第１３節第１日,05/15(日),13:03,長崎,1-1,山形,長崎県立,5,115,スカパー！／スカパー！プレミアムサービス,18336
2016,Ｊ２,第１３節第１日,05/15(日),13:04,松本,0-0,讃岐,松本,11,402,スカパー！／スカパー！プレミアムサービス,18333
2016,Ｊ２,第１３節第１日,05/15(日),13:04,清水,0-1,徳島,アイスタ,10,469,スカパー！／スカパー！プレミアムサービス,18335
2016,Ｊ２,第１３節第１日,05/15(日),14:03,岡山,0-1,岐阜,Ｃスタ,9,464,スカパー！／スカパー！プレミアムサービス,18337
2016,Ｊ２,第１３節第１日,05/15(日),16:03,町田,0-1,北九州,町田,4,722,スカパー！／スカパー！プレミアムサービス,18340
2016,Ｊ２,第１３節第１日,05/15(日),16:04,愛媛,0-1,京都,ニンスタ,3,841,スカパー！／スカパー！プレミアムサービス,18342
2016,Ｊ２,第１３節第１日,05/15(日),16:04,群馬,3-1,横浜FC,正田スタ,8,369,スカパー！／スカパー！プレミアムサービス／群馬テレビ（録）,18338
2016,Ｊ２,第１３節第１日,05/15(日),16:04,Ｃ大阪,2-4,山口,金鳥スタ,10,857,スカパー！／スカパー！プレミアムサービス,18341
2016,Ｊ２,第１３節第１日,05/15(日),16:04,千葉,2-0,熊本,フクアリ,14,163,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,18339
2016,Ｊ２,第８節第３日,05/18(水),19:03,金沢,2-1,愛媛,石川西部,1,924,スカパー！／スカパー！プレミアムサービス,18278
2016,Ｊ２,第１４節第１日,05/22(日),13:03,讃岐,0-1,札幌,ピカスタ,3,208,スカパー！／スカパー！プレミアムサービス,18345
2016,Ｊ２,第１４節第１日,05/22(日),13:03,松本,1-0,町田,松本,12,462,スカパー！／スカパー！プレミアムサービス／長野放送,18344
2016,Ｊ２,第１４節第１日,05/22(日),13:04,山形,0-0,金沢,ＮＤスタ,6,483,スカパー！／スカパー！プレミアムサービス,18343
2016,Ｊ２,第１４節第１日,05/22(日),13:05,徳島,1-1,群馬,鳴門大塚,3,649,スカパー！／スカパー！プレミアムサービス,18346
2016,Ｊ２,第１４節第１日,05/22(日),14:03,北九州,1-2,京都,本城,3,682,スカパー！／スカパー！プレミアムサービス／九州朝日放送,18348
2016,Ｊ２,第１４節第１日,05/22(日),14:03,岡山,2-1,愛媛,Ｃスタ,8,486,スカパー！／スカパー！プレミアムサービス,18347
2016,Ｊ２,第１４節第１日,05/22(日),15:04,熊本,0-1,水戸,柏,8,201,スカパー！／スカパー！プレミアムサービス,18353
2016,Ｊ２,第１４節第１日,05/22(日),16:03,東京Ｖ,2-1,清水,味スタ,8,792,スカパー！／スカパー！プレミアムサービス,18350
2016,Ｊ２,第１４節第１日,05/22(日),16:03,千葉,3-2,岐阜,フクアリ,10,147,スカパー！／スカパー！プレミアムサービス,18349
2016,Ｊ２,第１４節第１日,05/22(日),16:03,横浜FC,1-1,Ｃ大阪,ニッパツ,10,524,スカパー！／スカパー！プレミアムサービス,18351
2016,Ｊ２,第１４節第１日,05/22(日),16:03,山口,0-3,長崎,維新公園,6,609,スカパー！／スカパー！プレミアムサービス,18352
2016,Ｊ２,第１５節第１日,05/28(土),13:04,徳島,1-0,北九州,鳴門大塚,3,490,スカパー！／スカパー！プレミアムサービス,18355
2016,Ｊ２,第１５節第１日,05/28(土),13:05,讃岐,1-1,水戸,ピカスタ,1,924,スカパー！／スカパー！プレミアムサービス,18354
2016,Ｊ２,第１５節第１日,05/28(土),14:03,札幌,3-1,山口,札幌ド,10,920,スカパー！／スカパー！プレミアムサービス／ＮＨＫ札幌／ＮＨＫ山口,18356
2016,Ｊ２,第１５節第１日,05/28(土),14:03,京都,1-0,横浜FC,西京極,9,903,スカパー！／スカパー！プレミアムサービス／ＮＨＫ京都／ＫＢＳ京都（録）,18358
2016,Ｊ２,第１５節第１日,05/28(土),14:04,清水,8-0,群馬,アイスタ,8,310,スカパー！／スカパー！プレミアムサービス,18357
2016,Ｊ２,第１５節第１日,05/28(土),16:05,岐阜,0-1,山形,長良川,8,248,スカパー！／スカパー！プレミアムサービス／岐阜放送,18359
2016,Ｊ２,第１５節第１日,05/28(土),18:03,長崎,1-1,千葉,長崎県立,5,762,スカパー！／スカパー！プレミアムサービス,18361
2016,Ｊ２,第１５節第１日,05/28(土),18:34,Ｃ大阪,2-1,岡山,ヤンマー,13,774,スカパー！／スカパー！プレミアムサービス,18362
2016,Ｊ２,第１５節第１日,05/28(土),19:33,熊本,0-2,町田,ノエスタ,2,509,スカパー！／スカパー！プレミアムサービス,18360
2016,Ｊ２,第１５節第２日,05/29(日),19:03,金沢,0-2,松本,石川西部,7,636,スカパー！／スカパー！プレミアムサービス,18363
2016,Ｊ２,第１５節第２日,05/29(日),19:04,愛媛,0-0,東京Ｖ,ニンスタ,2,019,スカパー！／スカパー！プレミアムサービス,18364
2016,Ｊ２,第１６節第１日,06/04(土),13:03,岡山,2-1,熊本,Ｃスタ,7,308,スカパー！／スカパー！プレミアムサービス／岡山放送,18366
2016,Ｊ２,第１６節第１日,06/04(土),13:03,山口,3-1,東京Ｖ,維新公園,4,909,スカパー！／スカパー！プレミアムサービス,18367
2016,Ｊ２,第１６節第１日,06/04(土),13:04,岐阜,2-4,長崎,長良川,4,074,スカパー！／スカパー！プレミアムサービス,18365
